"athlete_id","position_group","n_pair","r","ci_lo","ci_hi","pair","context"
"P18","Forward",71,0.101993236653681,-0.134511246737289,0.327503883838342,"HR80 mins vs sRPE-TL","overall"
"P19","Forward",73,-0.118970854912359,-0.339739032800948,0.114222850155283,"HR80 mins vs sRPE-TL","overall"
"P01","Forward",60,0.496554507650408,0.277636254100901,0.666448423997566,"TRIMP/min vs sRPE","practice"
"P02","Forward",47,0.393097110183775,0.119409808364861,0.611261955901967,"TRIMP/min vs sRPE","practice"
"P03","Defenseman",62,0.233604061079678,-0.0171657068264588,0.456723857830627,"TRIMP/min vs sRPE","practice"
"P04","Defenseman",50,0.48784451262636,0.242414335383015,0.674589454510809,"TRIMP/min vs sRPE","practice"
"P05","Defenseman",60,0.545381333559674,0.338307399604676,0.702078182271425,"TRIMP/min vs sRPE","practice"
"P06","Forward",56,0.151987962342007,-0.11552883769562,0.398947464368,"TRIMP/min vs sRPE","practice"
"P07","Defenseman",59,0.635988930399427,0.45381793620579,0.76713189266555,"TRIMP/min vs sRPE","practice"
"P08","Defenseman",60,0.264011975025064,0.0108121072282005,0.485396127700641,"TRIMP/min vs sRPE","practice"
"P09","Defenseman",51,0.593320320058015,0.379844849310531,0.746795854996905,"TRIMP/min vs sRPE","practice"
"P10","Forward",50,0.610471980385609,0.400112827000308,0.759724641701229,"TRIMP/min vs sRPE","practice"
"P11","Forward",54,0.620367609025871,0.422845992280205,0.761616127278454,"TRIMP/min vs sRPE","practice"
"P12","Forward",58,0.507665568935748,0.28700402036297,0.677166006697696,"TRIMP/min vs sRPE","practice"
"P13","Forward",63,0.656670024615586,0.488361314218888,0.777874910476648,"TRIMP/min vs sRPE","practice"
"P14","Defenseman",40,0.668618753871188,0.451055742777712,0.811175636084231,"TRIMP/min vs sRPE","practice"
"P15","Forward",59,0.572983531445868,0.371396626685147,0.722981989980482,"TRIMP/min vs sRPE","practice"
"P16","Defenseman",60,0.463772926514187,0.23785935050313,0.642083671206762,"TRIMP/min vs sRPE","practice"
"P17","Forward",61,0.670707247204471,0.504013352760621,0.789228821018554,"TRIMP/min vs sRPE","practice"
"P18","Forward",63,0.501234073915179,0.289410422764696,0.666257709869953,"TRIMP/min vs sRPE","practice"
"P19","Forward",62,0.39971322211137,0.166575159217324,0.590525887202069,"TRIMP/min vs sRPE","practice"
"P01","Forward",60,0.384310981836947,0.144486108259798,0.581490338054556,"%HR80 vs sRPE","practice"
"P02","Forward",47,0.468765461955288,0.209846965176904,0.666246275344709,"%HR80 vs sRPE","practice"
"P03","Defenseman",62,0.309084002993825,0.0642780222054605,0.518801095292847,"%HR80 vs sRPE","practice"
"P04","Defenseman",50,0.509241063494776,0.269026848340586,0.689810799581237,"%HR80 vs sRPE","practice"
"P05","Defenseman",60,0.619966485454615,0.434432185233351,0.755030636844646,"%HR80 vs sRPE","practice"
"P06","Forward",56,0.179313938011008,-0.0877219583730437,0.422306223737557,"%HR80 vs sRPE","practice"
"P07","Defenseman",59,0.573564437986914,0.372142307505017,0.723394723626625,"%HR80 vs sRPE","practice"
"P08","Defenseman",60,0.279060835747246,0.0270531300285845,0.497717086568413,"%HR80 vs sRPE","practice"
"P09","Defenseman",51,0.479358005361615,0.234790983679299,0.666848791275994,"%HR80 vs sRPE","practice"
"P10","Forward",50,0.585755703559784,0.367292782703401,0.742967245994804,"%HR80 vs sRPE","practice"
"P11","Forward",54,0.5688240094614,0.355156920302967,0.726007373505206,"%HR80 vs sRPE","practice"
"P12","Forward",58,0.52491161022637,0.308434084535275,0.689696626027355,"%HR80 vs sRPE","practice"
"P13","Forward",63,0.639890153185601,0.466006989054826,0.766182733003404,"%HR80 vs sRPE","practice"
"P14","Defenseman",40,0.744138594475172,0.563177163857294,0.856991955553658,"%HR80 vs sRPE","practice"
"P15","Forward",59,0.51122504627738,0.293576540786226,0.678483232961495,"%HR80 vs sRPE","practice"
"P16","Defenseman",60,0.535646383071985,0.326071986395653,0.695036496763872,"%HR80 vs sRPE","practice"
"P17","Forward",61,0.741076377707531,0.60150812283443,0.836745086537486,"%HR80 vs sRPE","practice"
"P18","Forward",63,0.405203506690106,0.17500849748548,0.593394540288368,"%HR80 vs sRPE","practice"
"P19","Forward",62,0.469467212098727,0.248882464939375,0.643750527202451,"%HR80 vs sRPE","practice"
"P01","Forward",60,0.520033199291863,0.306594014307598,0.683678633551124,"HRmean vs sRPE","practice"
"P02","Forward",47,0.44094961156022,0.176078995366275,0.64628045367794,"HRmean vs sRPE","practice"
"P03","Defenseman",62,0.256129692441116,0.00679626773480318,0.475479988656943,"HRmean vs sRPE","practice"
"P04","Defenseman",50,0.51661025147147,0.278278179607866,0.695016486329098,"HRmean vs sRPE","practice"
"P05","Defenseman",60,0.544640774190782,0.337374157494352,0.701543580358978,"HRmean vs sRPE","practice"
"P06","Forward",56,0.200241846497871,-0.0661405684868878,0.439980197830498,"HRmean vs sRPE","practice"
"P07","Defenseman",59,0.645087197868282,0.465983202353455,0.773406310688629,"HRmean vs sRPE","practice"
"P08","Defenseman",60,0.275296522298243,0.0229780940794085,0.494643383054062,"HRmean vs sRPE","practice"
"P09","Defenseman",51,0.572107265557224,0.352025071314938,0.732243000542897,"HRmean vs sRPE","practice"
"P10","Forward",50,0.617910269695434,0.410096685080598,0.764729217149963,"HRmean vs sRPE","practice"
"P11","Forward",54,0.63297887141328,0.439750151886505,0.770200609245723,"HRmean vs sRPE","practice"
"P12","Forward",58,0.534614252667986,0.320588031022368,0.696703249374772,"HRmean vs sRPE","practice"
"P13","Forward",63,0.699289201761304,0.546149754225932,0.807199349846984,"HRmean vs sRPE","practice"
"P14","Defenseman",40,0.682048306448748,0.47050440478245,0.819453037821373,"HRmean vs sRPE","practice"
"P15","Forward",59,0.570022064465794,0.367599176791103,0.72087620439383,"HRmean vs sRPE","practice"
"P16","Defenseman",60,0.440942983814052,0.210598184240929,0.62489994189389,"HRmean vs sRPE","practice"
"P17","Forward",61,0.654744468465757,0.482473031826416,0.778248901491716,"HRmean vs sRPE","practice"
"P18","Forward",63,0.498617414586638,0.286210859970494,0.664313218871259,"HRmean vs sRPE","practice"
"P19","Forward",62,0.420145388919367,0.190352588649295,0.60629013609163,"HRmean vs sRPE","practice"
"P01","Forward",60,0.251747900415052,-0.00232545684562617,0.475289703446233,"HRpeak vs sRPE","practice"
"P02","Forward",47,0.0673031562523379,-0.224196758305878,0.347748943094697,"HRpeak vs sRPE","practice"
"P03","Defenseman",62,0.211434246035498,-0.0404712238515974,0.438068260329601,"HRpeak vs sRPE","practice"
"P04","Defenseman",50,0.258237093326529,-0.0216681235470951,0.500601708352307,"HRpeak vs sRPE","practice"
"P05","Defenseman",60,0.445235931857341,0.215697175979905,0.628144839132576,"HRpeak vs sRPE","practice"
"P06","Forward",56,0.365775654037587,0.113820388573607,0.573524564351254,"HRpeak vs sRPE","practice"
"P07","Defenseman",59,0.508848164706239,0.290638061438664,0.676745736622519,"HRpeak vs sRPE","practice"
"P08","Defenseman",60,0.153685947666597,-0.104309393190607,0.392301228588788,"HRpeak vs sRPE","practice"
"P09","Defenseman",51,0.515247077032787,0.2793259217798,0.692500108602418,"HRpeak vs sRPE","practice"
"P10","Forward",50,0.665590234587706,0.475299041737521,0.796393664189401,"HRpeak vs sRPE","practice"
"P11","Forward",54,0.574048771258721,0.361917729162098,0.729655688059941,"HRpeak vs sRPE","practice"
"P12","Forward",58,0.556056299085926,0.347699567422936,0.712078395489315,"HRpeak vs sRPE","practice"
"P13","Forward",63,0.542044370725075,0.339932096521736,0.696296970215335,"HRpeak vs sRPE","practice"
"P14","Defenseman",40,0.578355399623585,0.325486758656784,0.754018438666269,"HRpeak vs sRPE","practice"
"P15","Forward",59,0.27764923794919,0.0232177696991396,0.498301737803257,"HRpeak vs sRPE","practice"
"P16","Defenseman",60,0.609134541127138,0.420204711267938,0.747448209630225,"HRpeak vs sRPE","practice"
"P17","Forward",61,0.517209128674599,0.30512969740864,0.680410493556507,"HRpeak vs sRPE","practice"
"P18","Forward",63,0.509290448825434,0.299291298355024,0.67223050269583,"HRpeak vs sRPE","practice"
"P19","Forward",62,0.425936424350808,0.197141157670153,0.610731705438173,"HRpeak vs sRPE","practice"
"P01","Forward",60,0.581275939551134,0.384034913212835,0.727780070662769,"TRIMP vs sRPE","practice"
"P02","Forward",47,0.558683244396997,0.323401434397909,0.728907562723965,"TRIMP vs sRPE","practice"
"P03","Defenseman",62,0.469576195646644,0.249013603880801,0.643832386566647,"TRIMP vs sRPE","practice"
"P04","Defenseman",50,0.728547798698385,0.5647192888009,0.837133528996075,"TRIMP vs sRPE","practice"
"P05","Defenseman",60,0.76724630299822,0.63752624103308,0.854663147261924,"TRIMP vs sRPE","practice"
"P06","Forward",56,0.597886192781436,0.397460298422492,0.74386292895449,"TRIMP vs sRPE","practice"
"P07","Defenseman",59,0.733760844603788,0.588203940082105,0.833269213074275,"TRIMP vs sRPE","practice"
"P08","Defenseman",60,0.474745923045929,0.251090055873362,0.650279603171225,"TRIMP vs sRPE","practice"
"P09","Defenseman",51,0.676320818885323,0.492537809610983,0.802358522292123,"TRIMP vs sRPE","practice"
"P10","Forward",50,0.748804171576411,0.594331801906383,0.849990191586744,"TRIMP vs sRPE","practice"
"P11","Forward",54,0.751245073405053,0.605228538050154,0.84835566421337,"TRIMP vs sRPE","practice"
"P12","Forward",58,0.742856426442926,0.599612258858885,0.839979690210741,"TRIMP vs sRPE","practice"
"P13","Forward",63,0.734500887629025,0.595019704416257,0.831031741978558,"TRIMP vs sRPE","practice"
"P14","Defenseman",40,0.797336211016117,0.646370992057333,0.888229238792339,"TRIMP vs sRPE","practice"
"P15","Forward",59,0.546534788429534,0.337718936238604,0.704076074900384,"TRIMP vs sRPE","practice"
"P16","Defenseman",60,0.663571398743092,0.49265821057073,0.785193259122779,"TRIMP vs sRPE","practice"
"P17","Forward",61,0.628497842655754,0.447502836675114,0.760029613458424,"TRIMP vs sRPE","practice"
"P18","Forward",63,0.551316994885573,0.351576248674246,0.703047761132342,"TRIMP vs sRPE","practice"
"P19","Forward",62,0.576977540592118,0.38230331448075,0.722609957460034,"TRIMP vs sRPE","practice"
"P01","Forward",60,0.509764506306993,0.293880184076255,0.676165171445036,"HR80 mins vs sRPE","practice"
"P02","Forward",47,0.572080064528041,0.340920492374145,0.738005547583203,"HR80 mins vs sRPE","practice"
"P03","Defenseman",62,0.467449804248095,0.246456395574882,0.642234497801275,"HR80 mins vs sRPE","practice"
"P04","Defenseman",50,0.677112906123202,0.491376263933349,0.803939811191963,"HR80 mins vs sRPE","practice"
"P05","Defenseman",60,0.761701903854877,0.629539548731712,0.851025558137021,"HR80 mins vs sRPE","practice"
"P06","Forward",56,0.46438045132715,0.229498435354174,0.648150916020626,"HR80 mins vs sRPE","practice"
"P07","Defenseman",59,0.723857836344318,0.574216430570536,0.826697536069831,"HR80 mins vs sRPE","practice"
"P08","Defenseman",60,0.442475693696964,0.212417238172148,0.626059196513034,"HR80 mins vs sRPE","practice"
"P09","Defenseman",51,0.643222553927481,0.446847864970522,0.780460519109926,"HR80 mins vs sRPE","practice"
